CompoundID,cpdName,feature,ion,IonID,rt,rt_minutes,mz,mzMin,mzMax,rtMin,rtMax,Monoisotopic_mass,chemicalFormula,logPRDKit,HMDBClass,HMDBSubClass,HMDBDirectParent,HMDBID,LmapsCategory,LmapsMainclass,LMapsSubclass,LMapsID,KEGGID,chemspiderID,PubChemID,IUPAC,InChI,InChIKey,MSIAnnotationLevel
BANEG-0046,Taurolithocholic acid,1,[M-H]-,BANEG-0046.1,540,9,482.294568,482.2873336,482.3018025,492.9,587.1,483.3018445,C26H45NO5S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000722,,,,,,,,,,QBYUNVOYXHFVKC-GBURMNQMSA-N,
BANEG-0047,Glycohyocholic acid,1,[M-H]-,BANEG-0047.1,286.5,4.775,464.3017616,464.2947971,464.3087262,251.7,321.3,465.3090381,C26H43NO6,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,ZQYUKJFJPJDMMR-ZDWCHQGWSA-N,
BANEG-0048,Tauroursodeoxycholic acid,1,[M-H]-,BANEG-0048.1,275.4,4.59,498.2894827,498.2820084,498.2969571,236.4,314.4,499.2967592,C26H45NO6S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,BHTRKEVKTKCXOH-LBSADWJPSA-N,
BANEG-0049,Taurohyodeoxycholic acid,1,[M-H]-,BANEG-0049.1,293.7,4.895,498.2894827,498.2820084,498.2969571,254.4,333,499.2967592,C26H45NO6S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,HMXPOCDLAFAFNT-BHYUGXBJSA-N,
BANEG-0050,Taurochenodeoxycholic acid,1,[M-H]-,BANEG-0050.1,413.4,6.89,498.2894827,498.2820084,498.2969571,369.9,456.9,499.2967592,C26H45NO6S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000951,,,,,,,,,,BHTRKEVKTKCXOH-BJLOMENOSA-N,
BANEG-0051,Taurodeoxycholic acid,1,[M-H]-,BANEG-0051.1,439.2,7.32,498.2894827,498.2820084,498.2969571,394.5,483.9,499.2967592,C26H45NO6S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000896,,,,,,,,,,AWDRATDZQPNJFN-VAYUFCLWSA-N,
BANEG-0052,"3,7,12-Taurodehydrocholic acid",1,[M-H]-,BANEG-0052.1,85.2,1.42,508.2374471,508.2298236,508.2450707,55.2,115.2,509.2447236,C26H39NO7S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,UBDJSBRKNHQFPD-PYGYYAGESA-N,
BANEG-0053,Taurohyocholic acid,1,[M-H]-,BANEG-0053.1,254.4,4.24,514.2843973,514.2766831,514.2921116,216.6,292.2,515.2916738,C26H45NO7S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,,,,,,,,,,,XSOLDPYUICCHJX-QZEPYOAJSA-N,
BANEG-0057,Taurocholic acid,1,[M-H]-,BANEG-0057.1,305.4,5.09,514.2843973,514.2766831,514.2921116,264.9,345.9,515.2916738,C26H45NO7S,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0000036,,,,,,,,,,WBWWGRHZICKQGZ-HZAMXZRMSA-N,
BANEG-0058,Taurolithocholic acid-3-sulfate,1,[M-H]-,BANEG-0058.1,324,5.4,562.2513829,562.2429492,562.2598167,244.2,403.8,563.2586594,C26H45NO8S2,,Steroids and steroid derivatives  ,"Bile acids, alcohols and derivatives",,HMDB0002580,,,,,,,440071,,,HSNPMXROZIQAQD-GBURMNQMSA-N,
